ProbeID	1 Avg_ctrl	1 Avg_treat	1 FoldChange	1 Rank_modT	1 Rank_WAD	1 RP_origPvalue	1 RP_correctedPvalue	1 Rank_RP	1 DEG	Homolog_GID	Description	Function	TAIR-annotation	AGI	Symbol	short_description
POPTR_0017s03500.1	16.91228865	105.3359551	6.228367861	3	58	0	0	8	DEG	AT3G21350.1	RNA polymerase transcriptional regulation mediator-related	---	"MED6; FUNCTIONS IN: RNA polymerase II transcription mediator activity; INVOLVED IN: regulation of transcription from RNA polymerase II promoter; LOCATED IN: mediator complex; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Mediator complex, subunit Med6, metazoa/plant (InterPro:IPR016820), Mediator complex, subunit Med6 (InterPro:IPR007018); Has 344 Blast hits to 344 proteins in 167 species: Archae - 0; Bacteria - 0; Metazoa - 146; Fungi - 139; Plants - 37; Viruses - 0; Other Eukaryotes - 22 (source: NCBI BLink)."	AT3G21350	MED6	--
POPTR_0007s05160.1	424.8666404	155.8932841	-2.725368465	30	65	3.0	0.029875	162	DEG	AT4G39980.1	3-deoxy-D-arabino-heptulosonate 7-phosphate synthase 1	"Encodes a 2-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase, which catalyzes the first committed step in aromatic amino acid biosynthesis. Gene expression is induced by wounding and pathogenic bacteria Pseudomonas syringae."	"3-deoxy-D-arabino-heptulosonate 7-phosphate synthase 1 (DHS1); CONTAINS InterPro DOMAIN/s: DAHP synthetase, class II (InterPro:IPR002480); BEST Arabidopsis thaliana protein match is: Class-II DAHP synthetase family protein (TAIR:AT1G22410.1); Has 3797 Blast hits to 3784 proteins in 681 species: Archae - 0; Bacteria - 1224; Metazoa - 0; Fungi - 110; Plants - 172; Viruses - 0; Other Eukaryotes - 2291 (source: NCBI BLink)."	AT4G39980	DHS1	3-deoxy-D-arabino-heptulosonate 7-phosphate synthase 
POPTR_0010s01860.1	238.3606843	686.2397122	2.878997073	456	40	2.0	0.019916667	90	DEG	AT3G21480.1	BRCT domain-containing DNA repair protein	---	BRCT domain-containing DNA repair protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: intracellular; CONTAINS InterPro DOMAIN/s: BRCT (InterPro:IPR001357); BEST Arabidopsis thaliana protein match is: BRCT domain-containing DNA repair protein (TAIR:AT4G03130.1); Has 730 Blast hits to 680 proteins in 204 species: Archae - 4; Bacteria - 146; Metazoa - 309; Fungi - 49; Plants - 100; Viruses - 0; Other Eukaryotes - 122 (source: NCBI BLink).	---	---	--
POPTR_0001s33670.1	17.61200956	6.46421248	-2.724540632	730	1665	5.0	0.033194444	185	DEG	AT3G01930.2	Major facilitator superfamily protein	---	"Major facilitator superfamily protein; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Nodulin-like (InterPro:IPR010658), Major facilitator superfamily, general substrate transporter (InterPro:IPR016196); BEST Arabidopsis thaliana protein match is: Major facilitator superfamily protein (TAIR:AT5G14120.1); Has 2557 Blast hits to 2447 proteins in 764 species: Archae - 24; Bacteria - 1311; Metazoa - 10; Fungi - 268; Plants - 609; Viruses - 0; Other Eukaryotes - 335 (source: NCBI BLink)."	---	---	--
POPTR_0008s17400.5	269.6664018	115.0776439	-2.343343092	816	166	0.0	0.046721805	310	DEG	AT4G17740.1	Peptidase S41 family protein	---	"Peptidase S41 family protein; FUNCTIONS IN: serine-type peptidase activity; INVOLVED IN: proteolysis, intracellular signaling pathway; LOCATED IN: thylakoid, thylakoid lumen, mitochondrion, chloroplast thylakoid lumen; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Peptidase S41 (InterPro:IPR005151), PDZ/DHR/GLGF (InterPro:IPR001478), Peptidase S41A, C-terminal peptidase (InterPro:IPR004447); BEST Arabidopsis thaliana protein match is: Peptidase S41 family protein (TAIR:AT3G57680.1); Has 9204 Blast hits to 9194 proteins in 1993 species: Archae - 0; Bacteria - 5702; Metazoa - 14; Fungi - 0; Plants - 153; Viruses - 0; Other Eukaryotes - 3335 (source: NCBI BLink)."	---	---	--
POPTR_0012s07590.1	56.26592138	21.87133518	-2.572587404	139	393	4.0	0.03083871	168	DEG	AT1G74850.1	plastid transcriptionally active 2	Present in transcriptionally active plastid chromosomes. Involved in plastid gene expression.	"plastid transcriptionally active 2 (PTAC2); INVOLVED IN: positive regulation of transcription, DNA-dependent, transcription from plastid promoter; LOCATED IN: plastid chromosome, chloroplast, nucleoid; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Pentatricopeptide repeat (InterPro:IPR002885), Smr protein/MutS2 C-terminal (InterPro:IPR002625); BEST Arabidopsis thaliana protein match is: Pentatricopeptide repeat (PPR) superfamily protein (TAIR:AT5G02860.1); Has 58866 Blast hits to 15377 proteins in 307 species: Archae - 6; Bacteria - 74; Metazoa - 884; Fungi - 1027; Plants - 54432; Viruses - 0; Other Eukaryotes - 2443 (source: NCBI BLink)."	AT1G74850	PTAC2	plastid transcriptionally active 
POPTR_0003s09260.2	86.28042715	271.8117058	3.150328699	29	64	1.0	0.013657143	60	DEG	AT5G52980.1	---	---	"CONTAINS InterPro DOMAIN/s: ATPase, vacuolar ER assembly factor, Vma12 (InterPro:IPR021013); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink)."	---	---	--
POPTR_0008s14550.1	5.484744861	32.32663136	5.89391707	195	446	0	0	9	DEG	AT1G24050.1	"RNA-processing, Lsm domain"	---	"RNA-processing, Lsm domain; CONTAINS InterPro DOMAIN/s: RNA-processing, Lsm domain (InterPro:IPR019181); BEST Arabidopsis thaliana protein match is: RNA-processing, Lsm domain (TAIR:AT1G70220.1); Has 228 Blast hits to 228 proteins in 109 species: Archae - 0; Bacteria - 0; Metazoa - 90; Fungi - 53; Plants - 56; Viruses - 0; Other Eukaryotes - 29 (source: NCBI BLink)."	---	---	--
POPTR_0004s11210.1	21.46453761	9.187666235	-2.336233932	914	1402	0.0	0.045327586	293	DEG	AT5G15730.2	Protein kinase superfamily protein	---	"Protein kinase superfamily protein; FUNCTIONS IN: protein serine/threonine kinase activity, protein kinase activity, kinase activity, ATP binding; INVOLVED IN: protein amino acid phosphorylation; LOCATED IN: endomembrane system; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Protein kinase, catalytic domain (InterPro:IPR000719), Serine/threonine-protein kinase-like domain (InterPro:IPR017442), Protein kinase-like domain (InterPro:IPR011009), Serine/threonine-protein kinase, active site (InterPro:IPR008271); BEST Arabidopsis thaliana protein match is: Protein kinase superfamily protein (TAIR:AT5G54590.2); Has 117437 Blast hits to 116208 proteins in 4662 species: Archae - 111; Bacteria - 12502; Metazoa - 44353; Fungi - 9876; Plants - 32963; Viruses - 432; Other Eukaryotes - 17200 (source: NCBI BLink)."	AT5G15730	CRLK2	calcium/calmodulin-regulated receptor-like kinase 
POPTR_0017s08340.1	680.7406321	1340.100579	1.968592025	248	95	0.0	0.048886364	330	DEG	AT5G15020.1	SIN3-like 2	Encodes a homolog of the transcriptional repressor SIN3 (AT1G24190).	"SIN3-like 2 (SNL2); FUNCTIONS IN: molecular_function unknown; INVOLVED IN: regulation of transcription, DNA-dependent; LOCATED IN: nucleus; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Histone deacetylase interacting (InterPro:IPR013194), Paired amphipathic helix (InterPro:IPR003822); BEST Arabidopsis thaliana protein match is: SIN3-like 1 (TAIR:AT3G01320.1); Has 7665 Blast hits to 4944 proteins in 497 species: Archae - 53; Bacteria - 740; Metazoa - 2798; Fungi - 1391; Plants - 712; Viruses - 253; Other Eukaryotes - 1718 (source: NCBI BLink)."	AT5G15020	SNL2	SIN3-like 
POPTR_0005s11670.1	442.738767	1091.786695	2.465983954	55	45	4.0	0.024202532	123	DEG	AT5G66240.2	Transducin/WD40 repeat-like superfamily protein	---	"Transducin/WD40 repeat-like superfamily protein; CONTAINS InterPro DOMAIN/s: WD40 repeat 2 (InterPro:IPR019782), WD40 repeat-like-containing domain (InterPro:IPR011046), WD40-repeat-containing domain (InterPro:IPR017986), WD40/YVTN repeat-like-containing domain (InterPro:IPR015943), WD40 repeat (InterPro:IPR001680), WD40 repeat, subgroup (InterPro:IPR019781), G-protein beta WD-40 repeat, region (InterPro:IPR020472); BEST Arabidopsis thaliana protein match is: Transducin/WD40 repeat-like superfamily protein (TAIR:AT5G14530.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink)."	---	---	--
POPTR_0017s13730.1	267.8379532	85.36589433	-3.137528814	15	67	1.0	0.019916667	91	DEG	AT4G12010.1	Disease resistance protein (TIR-NBS-LRR class) family	---	"Disease resistance protein (TIR-NBS-LRR class) family; FUNCTIONS IN: transmembrane receptor activity, ATP binding; INVOLVED IN: signal transduction, apoptosis, defense response, innate immune response; LOCATED IN: intrinsic to membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: NB-ARC (InterPro:IPR002182), Leucine-rich repeat (InterPro:IPR001611), Toll-Interleukin receptor (InterPro:IPR000157), Disease resistance protein (InterPro:IPR000767); BEST Arabidopsis thaliana protein match is: Disease resistance protein (TIR-NBS-LRR class) (TAIR:AT4G19510.1); Has 31049 Blast hits to 21052 proteins in 960 species: Archae - 20; Bacteria - 2553; Metazoa - 5096; Fungi - 331; Plants - 21936; Viruses - 4; Other Eukaryotes - 1109 (source: NCBI BLink)."	---	---	--
POPTR_0008s14760.1	15.47776297	38.13907088	2.464120361	886	629	5.0	0.026263736	140	DEG	AT2G02860.1	sucrose transporter 2	encodes a sucrose transporter in sieve elements and a number of sink tissues and cell types. Gene expression is induced by wounding.	"sucrose transporter 2 (SUT2); CONTAINS InterPro DOMAIN/s: Sucrose/H+ symporter, plant (InterPro:IPR005989), Major facilitator superfamily MFS-1 (InterPro:IPR011701), Major facilitator superfamily, general substrate transporter (InterPro:IPR016196); BEST Arabidopsis thaliana protein match is: sucrose-proton symporter 2 (TAIR:AT1G22710.1); Has 2242 Blast hits to 2047 proteins in 559 species: Archae - 40; Bacteria - 808; Metazoa - 438; Fungi - 240; Plants - 408; Viruses - 0; Other Eukaryotes - 308 (source: NCBI BLink)."	AT2G02860	SUT2	sucrose transporter 
POPTR_0009s12400.1	7.875762321	24.1669332	3.068519874	472	948	1.0	0.013277778	59	DEG	AT2G16430.2	purple acid phosphatase 10	---	"purple acid phosphatase 10 (PAP10); FUNCTIONS IN: protein serine/threonine phosphatase activity, acid phosphatase activity; INVOLVED IN: biological_process unknown; LOCATED IN: cell wall, plant-type cell wall; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Purple acid phosphatase, N-terminal (InterPro:IPR015914), Metallophosphoesterase (InterPro:IPR004843), Purple acid phosphatase-like, N-terminal (InterPro:IPR008963); BEST Arabidopsis thaliana protein match is: purple acid phosphatase 12 (TAIR:AT2G27190.1); Has 1830 Blast hits to 1814 proteins in 380 species: Archae - 3; Bacteria - 548; Metazoa - 186; Fungi - 79; Plants - 763; Viruses - 0; Other Eukaryotes - 251 (source: NCBI BLink)."	AT2G16430	PAP10	purple acid phosphatase 1
POPTR_0008s13820.1	14.27925875	29.64087239	2.075799095	220	1120	0.0	0.045379747	295	DEG	AT1G25220.1	anthranilate synthase beta subunit 1	Catalyzes the first step of tryptophan biosynthesis: Chorismate L-Glutamine = Anthranilate Pyruvate L-Glutamate. Functions as a heterocomplex with anthranilate synthase alpha subunit (ASA1 or ASA2).	"anthranilate synthase beta subunit 1 (ASB1); FUNCTIONS IN: anthranilate synthase activity; INVOLVED IN: in 6 processes; LOCATED IN: chloroplast; EXPRESSED IN: pericycle, cotyledon vascular system, primary root tip, root, lateral root primordium; CONTAINS InterPro DOMAIN/s: Glutamine amidotransferase class-I, C-terminal (InterPro:IPR000991), Glutamine amidotransferase superfamily (InterPro:IPR011702), Anthranilate synthase, glutamine amidotransferase domain (InterPro:IPR006221), Carbamoyl phosphate synthase, GATase domain (InterPro:IPR001317), Glutamine amidotransferase type 1 (InterPro:IPR017926), Anthranilate synthase component II/delta crystallin (InterPro:IPR006220); BEST Arabidopsis thaliana protein match is: Glutamine amidotransferase type 1 family protein (TAIR:AT5G57890.1); Has 24239 Blast hits to 24239 proteins in 3351 species: Archae - 587; Bacteria - 15803; Metazoa - 583; Fungi - 677; Plants - 202; Viruses - 0; Other Eukaryotes - 6387 (source: NCBI BLink)."	AT1G25220	WEI7	WEAK ETHYLENE INSENSITIVE
POPTR_0019s01160.1	174.0433212	40.5197803	-4.295268135	11	53	0	0	11	DEG	AT5G36930.2	Disease resistance protein (TIR-NBS-LRR class) family	---	"Disease resistance protein (TIR-NBS-LRR class) family; FUNCTIONS IN: transmembrane receptor activity, ATP binding; INVOLVED IN: signal transduction, defense response, apoptosis, innate immune response; LOCATED IN: intrinsic to membrane; EXPRESSED IN: 19 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: NB-ARC (InterPro:IPR002182), Toll-Interleukin receptor (InterPro:IPR000157), Disease resistance protein (InterPro:IPR000767); BEST Arabidopsis thaliana protein match is: disease resistance protein (TIR-NBS-LRR class), putative (TAIR:AT5G17680.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink)."	---	---	--
POPTR_0001s34580.1	553.2623448	2280.263632	4.121487127	882	4	0	0	12	DEG	AT4G18240.1	starch synthase 4	---	"starch synthase 4 (SS4); FUNCTIONS IN: transferase activity, transferring glycosyl groups; INVOLVED IN: starch metabolic process; LOCATED IN: chloroplast; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Glycogen/starch synthases, ADP-glucose type (InterPro:IPR011835), Starch synthase, catalytic domain (InterPro:IPR013534), Glycosyl transferase, group 1 (InterPro:IPR001296); BEST Arabidopsis thaliana protein match is: starch synthase 3 (TAIR:AT1G11720.1); Has 55451 Blast hits to 38117 proteins in 4040 species: Archae - 1014; Bacteria - 10985; Metazoa - 22418; Fungi - 3875; Plants - 6050; Viruses - 242; Other Eukaryotes - 10867 (source: NCBI BLink)."	AT4G18240	SSIV	STARCH SYNTHASE 
POPTR_0016s04960.1	118.7473914	249.5703338	2.101691084	1285	176	0.0	0.041704698	263	DEG	AT3G57880.1	Calcium-dependent lipid-binding (CaLB domain) plant phosphoribosyltransferase family protein	---	"Calcium-dependent lipid-binding (CaLB domain) plant phosphoribosyltransferase family protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: tryptophan biosynthetic process; LOCATED IN: endoplasmic reticulum, cell wall; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: C2 membrane targeting protein (InterPro:IPR018029), C2 calcium/lipid-binding domain, CaLB (InterPro:IPR008973), Phosphoribosyltransferase C-terminal (InterPro:IPR013583), C2 calcium-dependent membrane targeting (InterPro:IPR000008); BEST Arabidopsis thaliana protein match is: Calcium-dependent lipid-binding (CaLB domain) plant phosphoribosyltransferase family protein (TAIR:AT1G51570.1); Has 5845 Blast hits to 4237 proteins in 266 species: Archae - 0; Bacteria - 0; Metazoa - 3557; Fungi - 274; Plants - 1573; Viruses - 0; Other Eukaryotes - 441 (source: NCBI BLink)."	---	---	--
POPTR_0001s13380.1	13.47583315	34.5237196	2.561898712	2162	490	2.0	0.01912	85	DEG	AT5G13180.1	NAC domain containing protein 83	Encodes a NAC domain transcription factor that interacts with VND7 and negatively regulates xylem vessel formation.	NAC domain containing protein 83 (NAC083); CONTAINS InterPro DOMAIN/s: No apical meristem (NAM) protein (InterPro:IPR003441); BEST Arabidopsis thaliana protein match is: NAC domain containing protein 41 (TAIR:AT2G33480.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).	AT5G13180	VNI2	VND-interacting 
POPTR_0002s07800.1	18.45049848	8.378602035	-2.202097487	218	1697	0.0	0.044940171	289	DEG	AT1G21560.2	---	---	unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G01170.1).	---	---	--
POPTR_0018s01140.2	900.7660634	2543.280058	2.823463451	46	16	2.0	0.018745098	83	DEG	AT5G11300.1	mitotic-like cyclin 3B from Arabidopsis	"mitotic-like cyclin, core cell cycle gene that is expressed only in roots (RT_PCR), portions with mitotic activity only (whole mount in situ)."	"mitotic-like cyclin 3B from Arabidopsis (CYC3B); FUNCTIONS IN: cyclin-dependent protein kinase regulator activity; INVOLVED IN: regulation of cell cycle; LOCATED IN: nucleus, chloroplast; EXPRESSED IN: 18 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Cyclin, C-terminal (InterPro:IPR004367), Cyclin (InterPro:IPR006670), G2/mitotic-specific cyclin A (InterPro:IPR015453), Cyclin-like (InterPro:IPR011028), Cyclin-related (InterPro:IPR013763), Cyclin, N-terminal (InterPro:IPR006671), Cyclin, A/B/D/E (InterPro:IPR014400); BEST Arabidopsis thaliana protein match is: cyclin a2;1 (TAIR:AT5G25380.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink)."	AT5G11300	CYCA2;2	CYCLIN A2;
POPTR_0006s23260.1	104.7211076	278.4447547	2.658917206	25	98	2.0	0.018384615	82	DEG	AT2G37310.1	Pentatricopeptide repeat (PPR) superfamily protein	---	Pentatricopeptide repeat (PPR) superfamily protein; CONTAINS InterPro DOMAIN/s: Pentatricopeptide repeat (InterPro:IPR002885); BEST Arabidopsis thaliana protein match is: Tetratricopeptide repeat (TPR)-like superfamily protein (TAIR:AT2G29760.1); Has 41005 Blast hits to 14175 proteins in 268 species: Archae - 2; Bacteria - 17; Metazoa - 83; Fungi - 122; Plants - 40263; Viruses - 0; Other Eukaryotes - 518 (source: NCBI BLink).	---	---	--
